SYMBOL,SERIES,OPEN,CLOSE,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
1018GS2026,GS,100.96,107.51,106.05,3,315.98,3,IN0020010081
20MICRONS,EQ,77.6,76.5,76.6,189683,14819830.45,2232,INE144J01027
21STCENMGM,EQ,28.65,,28.1,490,14038.5,14,INE253B01015
3IINFOLTD,EQ,57.6,,57.15,1141592,65834349.7,7688,INE748C01038
3MINDIA,EQ,20198,,20040.9,5094,103747442.2,2843,INE470A01017
3PLAND,BE,15.7,,16,12822,195654.15,59,INE105C01023
563GS2026,GS,100.9,,96.1,80,8072,2,IN0020210012
5PAISA,EQ,367,,362.35,38784,14192004.15,2676,INE618L01018
63MOONS,BE,220,,220.25,47765,10349864.25,783,INE111B01023
667GS2050,GS,96.5,,96.5,6710,646187.98,11,IN0020200252
676GS2061,GS,96.15,,96,5456,528536.4,6,IN0020200401
699GS2051,GS,103.94,,102.65,32,3225.75,6,IN0020210194
727GS2026,GS,105,56.15,101,300,31500,4,IN0020190016
817GS2044,GS,114,20250.35,118.65,1,114,1,IN0020140078
A2ZINFRA,EQ,9.9,15.6,10.05,255090,2558486.55,564,INE619I01012
AAATECH,SM,71,100.9,70.7,3000,213000,1,INE0D0U01013
AAKASH,BE,25.5,100.9,25,234779,5872105.1,569,INE087Z01024
AAREYDRUGS,EQ,43.35,100.9,42.7,56957,2435924.2,724,INE198H01019
AARON,EQ,108.95,100.9,110.05,5404,615197.4,162,INE721Z01010
AARTIDRUGS,EQ,452,100.9,451.25,122858,55112099,5057,INE767A01016
AARTIIND,EQ,915.4,100.9,908.35,426212,388974328.6,18537,INE769A01020
AARTISURF,EQ,777.95,833,767.15,179156,154163629.3,13439,INE09EO01013
AARVEEDEN,EQ,25.85,24.8,25.05,13682,342921.35,227,INE273D01019
AARVI,EQ,90.2,89.8,90.05,15503,1393215.65,129,INE754X01016
AAVAS,EQ,2365,2312.4,2342.25,155879,362050547.2,29044,INE216P01012
ABAN,EQ,51,49.05,50.35,252386,12544337.85,2555,INE421A01028
ABB,EQ,2089.95,2050.8,2077.15,512732,1054740539,13654,INE117A01022
ABBOTINDIA,EQ,16670,16642.05,16685.6,10867,182063842.1,4204,INE358A01014
ABCAPITAL,EQ,109,109.4,108.95,2494590,273170403.9,14929,INE674K01013
ABCOTS,SM,48.3,48.25,48.8,56000,2740600,9,INE08PH01015
ABFRL,EQ,291.95,289.55,288.7,2132897,613122779.4,21007,INE647O01011
ABMINTLLTD,EQ,94.85,92.05,92.8,314,29263.8,33,INE251C01025
ABSLAMC,EQ,503,506.15,501.9,162647,82245597.65,4689,INE404A01024
ABSLBANETF,EQ,42.5,36.01,36.1,3062,111208.32,156,INF209KB17D5
ABSLNN50ET,EQ,36.1,41.66,41.26,2738,114363.32,58,INF209KB16D7
ACC,EQ,2064.1,2069.75,2058.3,232620,480615332.5,15847,INE012A01025
ACCELYA,EQ,1005,983.45,995.65,21728,21626558.4,2462,INE793A01012
ACCORD,SM,25.3,25.3,26.6,4000,101200,2,INE113X01015
ACCURACY,EQ,254.25,247.9,246.35,134848,34302765.7,3306,INE648Z01015
ACE,EQ,222,220.35,214.7,456727,101367608.9,10352,INE731H01025
ACRYSIL,EQ,787.55,782.05,787.55,45394,35747764.7,3570,INE482D01024
ADANIENT,EQ,1848.05,1811,1831.55,1553366,2833016751,29291,INE423A01024
ADANIGREEN,EQ,1884.4,1921.4,1877.45,834792,1598222647,37385,INE364U01010
ADANIPORTS,EQ,747.95,733.75,739.15,4698808,3479160167,76232,INE742F01042
ADANIPOWER,EQ,124.7,130.2,123.75,66120008,8635438510,207089,INE814H01011
ADANITRANS,EQ,2368.3,2406.7,2338.05,762205,1834663911,22333,INE931S01010
ADFFOODS,EQ,738,733.45,734,10275,7592774.15,963,INE982B01019
ADL,BE,45.6,45.65,47.9,631,29099.45,23,INE0CHO01012
ADORWELD,EQ,648,633.9,641.35,5788,3714779,328,INE045A01017
ADROITINFO,BE,12.15,11.95,12.4,21663,260920.95,76,INE737B01033
ADSL,EQ,122.5,119.5,121.85,110569,13430352.75,1615,INE102I01027
ADVANIHOTR,EQ,92.5,92.95,91,1587001,153371972.8,18770,INE199C01026
ADVENZYMES,EQ,307.6,302.05,305.95,143173,43546992.9,7756,INE837H01020
AEGISCHEM,EQ,206.45,201.8,205,660527,134441327.1,7763,INE208C01025
AFFLE,EQ,1235,1220.7,1224.55,257774,316228414.3,16602,INE00WC01027
AGARIND,EQ,580.6,585,578.15,137814,81950048.9,12464,INE204E01012
AGRITECH,EQ,112.35,112.35,107,5869,659382.15,76,INE449G01018
AGROPHOS,EQ,24,24.85,23.9,127670,3157427.9,641,INE740V01019
AGSTRA,EQ,102.95,100.85,101.9,460937,46989057.9,3651,INE583L01014
AHLADA,EQ,116.55,113.7,113.05,31969,3647798.65,436,INE00PV01013
AHLEAST,EQ,201.9,195.45,199.9,2205,436023.55,73,INE926K01017
AHLUCONT,EQ,400.35,407.1,400.35,11988,4912196.35,880,INE758C01029
AIAENG,EQ,1716.2,1708.05,1715.95,10383,17788626.2,3428,INE212H01026
